Ticker,Company,CAGR,Beat_SP500,Outperformance
AVGO,Broadcom,46.018845258370035,True,32.838845258370036
NFLX,Netflix,42.159233488696856,True,28.979233488696856
AMD,AMD,31.421700602800673,True,18.241700602800673
LLY,Eli Lilly,29.550976997214782,True,16.370976997214783
TMUS,T-Mobile,25.2188056807642,True,12.038805680764199
MS,Morgan Stanley,23.56998584924499,True,10.38998584924499
MA,Mastercard,22.47211080478373,True,9.292110804783729
COST,Costco,22.35237497193763,True,9.172374971937629
JPM,JPMorgan Chase,21.407979288880654,True,8.227979288880654
V,Visa,21.154971716646152,True,7.974971716646152
TMO,Thermo Fisher,20.440831776007684,True,7.260831776007684
ABBV,AbbVie,20.336328078916786,True,7.156328078916786
ORCL,Oracle,19.665153972353554,True,6.4851539723535545
GS,Goldman Sachs,19.44239997283148,True,6.262399972831481
HD,Home Depot,19.37213052920146,True,6.19213052920146
LOW,Lowe's,19.1258512989382,True,5.9458512989382015
SHW,Sherwin-Williams,18.779583331984618,True,5.599583331984618
BAC,Bank of America,18.404786898108515,True,5.2247868981085155
SCHW,Charles Schwab,17.887470976698474,True,4.707470976698474
CAT,Caterpillar,17.791726951885558,True,4.611726951885558
BLK,BlackRock,17.643717735751018,True,4.463717735751018
TJX,TJX Companies,17.443590113756446,True,4.263590113756447
LMT,Lockheed Martin,16.96113449669452,True,3.78113449669452
AXP,American Express,16.777571237415543,True,3.5975712374155435
TXN,Texas Instruments,16.770423431617054,True,3.5904234316170545
NEE,NextEra Energy,16.315187498552987,True,3.1351874985529875
UNH,UnitedHealth,16.16311761632563,True,2.9831176163256288
AMGN,Amgen,15.544760497434428,True,2.3647604974344283
CSCO,Cisco,15.017484186814102,True,1.8374841868141019
WMT,Walmart,14.917679812316976,True,1.7376798123169763
BRK-B,Berkshire Hathaway,14.656423677991581,True,1.4764236779915816
PLD,Prologis,14.397162961620523,True,1.2171629616205237
UNP,Union Pacific,13.709856799142406,True,0.5298567991424061
ABT,Abbott,13.64473708846976,True,0.4647370884697608
RTX,Raytheon,13.33190769212882,True,0.1519076921288196
HON,Honeywell,13.233892424361905,True,0.053892424361905
LIN,Linde,13.079258613316224,False,-0.10074138668377586
C,Citigroup,13.05538444937091,False,-0.12461555062908936
APD,Air Products,12.870799588330595,False,-0.30920041166940493
MCD,McDonald's,12.543945700625025,False,-0.6360542993749743
GM,General Motors,11.826567516754437,False,-1.3534324832455624
JNJ,Johnson & Johnson,11.816561794040359,False,-1.3634382059596408
QCOM,Qualcomm,11.745319354078942,False,-1.4346806459210573
GE,General Electric,11.635161585286502,False,-1.5448384147134977
SBUX,Starbucks,11.45814361862989,False,-1.7218563813701095
MO,Altria,11.289872946769997,False,-1.8901270532300032
WFC,Wells Fargo,10.986999583339308,False,-2.1930004166606913
MRK,Merck,10.589285828122463,False,-2.5907141718775364
AMT,American Tower,10.536301231137045,False,-2.6436987688629543
MMM,3M,10.082529372646643,False,-3.0974706273533563
SO,Southern Company,9.877562467829758,False,-3.3024375321702415
PM,Philip Morris,9.847946014269237,False,-3.332053985730763
PG,Procter & Gamble,9.614295469109058,False,-3.565704530890942
BA,Boeing,9.544213194033514,False,-3.635786805966486
DUK,Duke Energy,9.398183517190063,False,-3.781816482809937
PEP,PepsiCo,8.967045379430093,False,-4.212954620569906
EOG,EOG Resources,8.89634217088593,False,-4.28365782911407
DIS,Walt Disney,8.444191889712705,False,-4.735808110287294
KO,Coca-Cola,8.340438865323673,False,-4.839561134676327
CCI,Crown Castle,8.088403736367145,False,-5.091596263632855
NKE,Nike,8.05576996113182,False,-5.1242300388681805
COP,ConocoPhillips,7.945728030295451,False,-5.234271969704548
IBM,IBM,7.911467075493395,False,-5.268532924506605
CVX,Chevron,7.768899267916374,False,-5.411100732083626
NEM,Newmont,7.65805324920501,False,-5.5219467507949895
CMCSA,Comcast,7.405760097105385,False,-5.774239902894615
T,AT&T,7.271775644825507,False,-5.908224355174493
F,Ford,7.24183926790789,False,-5.9381607320921095
CVS,CVS Health,7.203321811043928,False,-5.976678188956072
XOM,Exxon Mobil,7.04490306534018,False,-6.13509693465982
TGT,Target,6.765587765349479,False,-6.414412234650521
BMY,Bristol Myers Squibb,6.441230544113097,False,-6.738769455886903
PYPL,PayPal,6.051482460120128,False,-7.128517539879872
CL,Colgate-Palmolive,6.031071638529961,False,-7.1489283614700385
INTC,Intel,5.5584339942092775,False,-7.621566005790722
PFE,Pfizer,5.532862127378491,False,-7.647137872621509
D,Dominion Energy,5.480401809693558,False,-7.699598190306442
UPS,UPS,5.315949329843894,False,-7.8640506701561055
VZ,Verizon,5.015214469632334,False,-8.164785530367666
FCX,Freeport-McMoRan,3.940368468858013,False,-9.239631531141987
SLB,Schlumberger,-1.38514824048811,False,-14.56514824048811
